"u","ids","object_id","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.016832,7617,0,1,4.64,5,4.64,0
0.017322,7617,0,1,4.65,5,4.65,0
0.017811,7617,0,1,4.66,5,4.66,0
0.018301,7617,0,1,4.67,5,4.67,0
0.018791,7617,0,1,4.68,5,4.68,0
0.019306,7745,0,1,4.69,5,4.69,0
0.0199,7745,0,1,4.7,5,4.7,0
0.020493,7745,0,1,4.71,5,4.71,0
0.021086,7745,0,1,4.72,5,4.72,0
0.021679,7745,0,1,4.73,5,4.73,0
0.022273,7745,0,1,4.74,5,4.74,0
0.022866,7745,0,1,4.75,5,4.75,0
0.023459,7745,0,1,4.76,5,4.76,0
0.024105,7873,0,1,4.77,5,4.77,0
0.024819,7873,0,1,4.78,5,4.78,0
0.025533,7873,0,1,4.79,5,4.79,0
0.026247,7873,0,1,4.8,5,4.8,0
0.02696,7873,0,1,4.81,5,4.81,0
0.027674,7873,0,1,4.82,5,4.82,0
0.028388,7873,0,1,4.83,5,4.83,0
0.029102,7873,0,1,4.84,5,4.84,0
0.029903,8001,0,1,4.85,5,4.85,0
0.030755,8001,0,1,4.86,5,4.86,0
0.031608,8001,0,1,4.87,5,4.87,0
0.032461,8001,0,1,4.88,5,4.88,0
0.033314,8001,0,1,4.89,5,4.89,0
0.034167,8001,0,1,4.9,5,4.9,0
0.03502,8001,0,1,4.91,5,4.91,0
0.035873,8001,0,1,4.92,5,4.92,0
0.036855,8129,0,1,4.93,5,4.93,0
0.037867,8129,0,1,4.94,5,4.94,0
0.038879,8129,0,1,4.95,5,4.95,0
0.03989,8128,0,1,4.96,5,4.96,0
0.040902,8128,0,1,4.97,5,4.97,0
0.041914,8128,0,1,4.98,5,4.98,0
0.042926,8128,0,1,4.99,5,4.99,0
0.043938,8128,0,1,5,5,5,0
0.04513,8256,0,1,5.01,5,5.01,0
0.046323,8256,0,1,5.02,5,5.02,0
0.047515,8256,0,1,5.03,5,5.03,0
0.048707,8256,0,1,5.04,5,5.04,0
0.049899,8256,0,1,5.05,5,5.05,0
0.051091,8256,0,1,5.06,5,5.06,0
0.052284,8256,0,1,5.07,5,5.07,0
0.053514,8384,0,1,5.08,5,5.08,0
0.054908,8384,0,1,5.09,5,5.09,0
0.056303,8384,0,1,5.1,5,5.1,0
0.057698,8384,0,1,5.11,5,5.11,0
